Bot Index,Bot Task,Bot,gpt-4o-2024-11-20
1197,DannyS712 bot 36,DannyS712 bot,Operational
1198,DannyS712 bot 58,DannyS712 bot,Task division
1199,DannyS712 bot 17,DannyS712 bot,Operational
1200,DannyS712 bot 70,DannyS712 bot,Operational
1201,DannyS712 bot 67,DannyS712 bot,Task division
1202,DannyS712 bot 9,DannyS712 bot,Task division
1203,DannyS712 bot 68,DannyS712 bot,Information provision
1204,DannyS712 bot 14,DannyS712 bot,Operational
1205,DannyS712 bot 25,DannyS712 bot,Operational
1206,DannyS712 bot 54,DannyS712 bot,Operational
1207,DannyS712 bot 69,DannyS712 bot,Operational
1208,DannyS712 bot 33,DannyS712 bot,Operational
1209,DannyS712 bot 10,DannyS712 bot,Information provision
1210,DannyS712 bot 38,DannyS712 bot,Task allocation
1211,DannyS712 bot 57,DannyS712 bot,Operational
1212,DannyS712 bot 49,DannyS712 bot,Task division
1213,DannyS712 bot 39,DannyS712 bot,Operational
1214,DannyS712 bot 19,DannyS712 bot,Operational
1215,DannyS712 bot 16,DannyS712 bot,Operational
1216,DannyS712 bot 46,DannyS712 bot,Operational
1217,DannyS712 bot 30,DannyS712 bot,Operational
1218,DannyS712 bot 37,DannyS712 bot,Task division
1219,DannyS712 bot 44,DannyS712 bot,Operational
1220,DannyS712 bot,DannyS712 bot,Operational
1221,DannyS712 bot 12,DannyS712 bot,Operational
1222,DannyS712 bot 73,DannyS712 bot,Task allocation
1223,DannyS712 bot 27,DannyS712 bot,Operational
1224,DannyS712 bot 26,DannyS712 bot,Operational
1225,DannyS712 bot 31,DannyS712 bot,Operational
1226,DannyS712 bot 8,DannyS712 bot,Operational
1227,DannyS712 bot 28,DannyS712 bot,Operational
1228,DannyS712 bot 72,DannyS712 bot,Task allocation
1229,DannyS712 bot 50,DannyS712 bot,Task division
1230,DannyS712 bot 4,DannyS712 bot,Operational
1231,DannyS712 bot II,DannyS712 bot II,Other
1232,DannyS712 bot II 13,DannyS712 bot II,Task allocation
1233,DannyS712 bot III 45,DannyS712 bot III,Operational
1234,DannyS712 bot III 66,DannyS712 bot III,Operational
1235,DannyS712 bot III 64,DannyS712 bot III,Operational
1236,DannyS712 bot III 48,DannyS712 bot III,Operational
1237,DannyS712 bot III 56,DannyS712 bot III,Operational
1238,DannyS712 bot III,DannyS712 bot III,Operational
1239,DannyS712 bot III 74,DannyS712 bot III,Operational
1240,DannyS712 bot III 63,DannyS712 bot III,Operational
1241,DannyS712 bot III 72,DannyS712 bot III,Exception management
1242,DannyS712 bot III 38,DannyS712 bot III,Operational
1243,DannyS712 bot IV 65,DannyS712 bot IV,Exception management
1244,DannyS712 bot IV 73,DannyS712 bot IV,Exception management
1245,DannyS712 bot IV,DannyS712 bot IV,Other
1246,Danroks bot,Danroks bot,Other
1247,Danumber1bot 2,Danumber1bot,Operational
1248,Danumber1bot,Danumber1bot,Operational
1249,Dapperbot,Dapperbot,Operational
1250,DarafshBot,DarafshBot,Interwiki
1251,DarafshBot 2,DarafshBot,Interwiki
1252,DarafshBot 3,DarafshBot,Interwiki
1253,DarafshBot 4,DarafshBot,Interwiki
1254,DarafshBot 5,DarafshBot,Operational
1255,DarioBot,DarioBot,Interwiki
1256,DarioBot~enwiki,DarioBot~enwiki,Other
1257,Dark Shikari Bot,Dark Shikari Bot,Task allocation
1258,Darkicebot,Darkicebot,Interwiki
1259,Darkicebot II,Darkicebot II,Interwiki
1260,DarknessBot,DarknessBot,Operational
1261,Dasschaefchenbot,Dasschaefchenbot,Interwiki
1262,DatBot 5,DatBot,Operational
1263,DatBot 6,DatBot,Other
1264,DatBot 7,DatBot,Information provision
1265,DatBot 10,DatBot,Operational
1266,DatBot 2,DatBot,Task allocation
1267,DatBot,DatBot,Task division
1268,DatBot 8,DatBot,Other
1269,DatBot 3,DatBot,Exception management
1270,DatBot 4,DatBot,Information provision
1271,DatBot 11,DatBot,Information provision
1272,DatBot 9,DatBot,Task allocation
1273,DatabaseBot,DatabaseBot,Task division
1274,DataflowBot,DataflowBot,Information provision
1275,DavidLeighEllisBot 2,DavidLeighEllisBot,Operational
1276,DavidLeighEllisBot,DavidLeighEllisBot,Operational
1277,DavidWSBot,DavidWSBot,Information provision
1278,DavidWSBot 1,DavidWSBot,Information provision
1279,DavykamanziBot,DavykamanziBot,Operational
1280,DaxBot,DaxBot,Other
1281,DaxServerBot I 2,DaxServerBot I,Operational
1282,DaxServerBot I 3,DaxServerBot I,Operational
1283,DaxServerBot I,DaxServerBot I,Operational
1284,Dcirovicbot,Dcirovicbot,Other
1285,DcoetzeeBot~enwiki,DcoetzeeBot~enwiki,Operational
1286,DeadBot 3,DeadBot,Exception management
1287,DeadBot,DeadBot,Operational
1288,DeadBot 2,DeadBot,Operational
1289,DeadLinkBOT 2,DeadLinkBOT,Information provision
1290,DeadLinkBOT,DeadLinkBOT,Operational
1291,DeadbeefBot 2,DeadbeefBot,Operational
1292,DeadbeefBot,DeadbeefBot,Operational
1293,DeadbeefBot 3,DeadbeefBot,Operational
1294,DeadbeefBot 1,DeadbeefBot,Operational
1295,Deadendmarker,Deadendmarker,Operational
1296,Dedebot,Dedebot,Other
1297,DefaultsortBot,DefaultsortBot,Operational
1298,DefconBot,DefconBot,Exception management
1299,Defenderbot,Defenderbot,Exception management
1300,DeleteAsstBot,DeleteAsstBot,Operational
1301,DeliveryBot,DeliveryBot,Information provision
1302,DeltaQuadBot 5,DeltaQuadBot,Exception management
1303,DeltaQuadBot,DeltaQuadBot,Task division
1304,DeltaQuadBot 3,DeltaQuadBot,Other
1305,DeltaQuadBot 8,DeltaQuadBot,Exception management
1306,DeltaQuadBot 7,DeltaQuadBot,Operational
1307,DeltaQuadBot 6,DeltaQuadBot,Operational
1308,DeltaQuadBot 4,DeltaQuadBot,Information provision
1309,DeltaQuadBot 2,DeltaQuadBot,Operational
1310,DeltaQuadBot 9,DeltaQuadBot,Operational
1311,Deltoro05bot,Deltoro05bot,Operational
1312,Demibot,Demibot,Information provision
1313,DemocraticsBot,DemocraticsBot,Other
1314,DemonDays64 Bot,DemonDays64 Bot,Operational
1315,DemonDays64 Bot 2,DemonDays64 Bot,Operational
1316,Denbot 3,Denbot,Operational
1317,Denbot,Denbot,Information provision
1318,Denbot 2,Denbot,Information provision
1319,Deonbot,Deonbot,Information provision
1320,DeprecatedFixerBot,DeprecatedFixerBot,Operational
1321,DeprecatedFixerBot 4,DeprecatedFixerBot,Operational
1322,DeprecatedFixerBot 7,DeprecatedFixerBot,Operational
1323,DeprecatedFixerBot 5,DeprecatedFixerBot,Operational
1324,DeprecatedFixerBot 8,DeprecatedFixerBot,Operational
1325,DeprecatedFixerBot 1,DeprecatedFixerBot,Operational
1326,DeprecatedFixerBot 2,DeprecatedFixerBot,Operational
1327,DeprecatedFixerBot 3,DeprecatedFixerBot,Operational
1328,DeprecatedFixerBot 6,DeprecatedFixerBot,Operational
1329,DerBotvonI,DerBotvonI,Other
1330,DermBOT,DermBOT,Other
1331,Descriptioncreator,Descriptioncreator,Other
1332,DesignerThanBot,DesignerThanBot,Information provision
1333,DetoxAgent,DetoxAgent,Exception management
1334,Detroiterbot,Detroiterbot,Operational
1335,Detroiterbot II,Detroiterbot II,Operational
1336,Detroiterbot III,Detroiterbot III,Operational
1337,Detroiterbot IV,Detroiterbot IV,Operational
1338,Dexbot 3,Dexbot,Operational
1339,Dexbot 5,Dexbot,Operational
1340,Dexbot 1,Dexbot,Operational
1341,Dexbot 11,Dexbot,Operational
1342,Dexbot 8,Dexbot,Operational
1343,Dexbot 12,Dexbot,Operational
1344,Dexbot 2,Dexbot,Operational
1345,Dexbot 10,Dexbot,Operational
1346,Dexbot 7,Dexbot,Operational
1347,Dexbot 6,Dexbot,Operational
1348,Dexbot 4,Dexbot,Operational
1349,Dexbot 9,Dexbot,Operational
1350,Dexbot,Dexbot,Operational
1351,DiBabelYurikBot,DiBabelYurikBot,Operational
1352,Dibot,Dibot,Operational
1353,DieBucheBot,DieBucheBot,Operational
1354,Diego Grez Bot,Diego Grez Bot,Interwiki
1355,DigitalmeBot,DigitalmeBot,Operational
1356,Diligent Terrier Bot 2,Diligent Terrier Bot,Information provision
1357,Diligent Terrier Bot,Diligent Terrier Bot,Other
1358,Dillonbot,Dillonbot,Other
1359,Dinamik-bot,Dinamik-bot,Interwiki
1360,DinoBot,DinoBot,Operational
1361,DinoBot2 9,DinoBot2,Operational
1362,DinoBot2 6,DinoBot2,Interwiki
1363,DinoBot2 8,DinoBot2,Operational
1364,DinoBot2 7,DinoBot2,Operational
1365,DinoBot2 4,DinoBot2,Operational
1366,DinoBot2,DinoBot2,Operational
1367,DinoBot2 5,DinoBot2,Operational
1368,DinoBot2 2,DinoBot2,Operational
1369,DinoBot2 3,DinoBot2,Operational
1370,DinoSizedBot,DinoSizedBot,Information provision
1371,DinojermBot,DinojermBot,Operational
1372,Dinybot,Dinybot,Interwiki
1373,DipankanBot,DipankanBot,Exception management
1374,DirlBot,DirlBot,Interwiki
1375,DirlBot 2,DirlBot,Interwiki
1376,DirlBot 3,DirlBot,Interwiki
1377,DirlBot 4,DirlBot,Interwiki
1378,DisambigRedirBot,DisambigRedirBot,Other
1379,Disambot,Disambot,Operational
1380,DismanetBot,DismanetBot,Operational
1381,DividingBot,DividingBot,Operational
1382,DixonDBot 2,DixonDBot,Interwiki
1383,DixonDBot,DixonDBot,Interwiki
1384,DiyarBot,DiyarBot,Task division
1385,Dneo bot,Dneo bot,Operational
1386,DodoBot 5,DodoBot,Exception management
1387,DodoBot 6,DodoBot,Task allocation
1388,DodoBot 3,DodoBot,Operational
1389,DodoBot,DodoBot,Task allocation
1390,DodoBot 4,DodoBot,Operational
1391,DodoBot 2,DodoBot,Operational
1392,DoggoBot 4,DoggoBot,Information provision
1393,DoggoBot 10,DoggoBot,Operational
1394,DoggoBot 8,DoggoBot,Information provision
1395,DoggoBot 6,DoggoBot,Operational
1396,DoggoBot 3,DoggoBot,Task allocation
1397,DoggoBot 5,DoggoBot,Operational
1398,DoggoBot 7,DoggoBot,Operational
1399,DoggoBot 2,DoggoBot,Operational
1400,DoggoBot 9,DoggoBot,Task allocation
1401,DoggoBot,DoggoBot,Operational
1402,DomBot,DomBot,Operational
1403,DomBot 2,DomBot,Operational
1404,DomdomeggBot,DomdomeggBot,Operational
1405,Doombot,Doombot,Other
1406,DorganBot,DorganBot,Interwiki
1407,DottyQuoteBot,DottyQuoteBot,Information provision
1408,DougBot,DougBot,Other
1409,DownloadBot,DownloadBot,Other
1410,DoyleyBot,DoyleyBot,Other
1411,Dpkbot,Dpkbot,Other
1412,DpmukBOT,DpmukBOT,Exception management
1413,DrFO.Tn.Bot,DrFO.Tn.Bot,Interwiki
1414,DrTrigonBot,DrTrigonBot,Operational
1415,DragonBot,DragonBot,Exception management
1416,DraiconeBot,DraiconeBot,Operational
1417,DreamBot 2,DreamBot,Other
1418,DreamBot,DreamBot,Task allocation
1419,Dreamy Jazz Bot 7,Dreamy Jazz Bot,Task division
1420,Dreamy Jazz Bot,Dreamy Jazz Bot,Information provision
1421,Dreamy Jazz Bot 3,Dreamy Jazz Bot,Task division
1422,Dreamy Jazz Bot 6,Dreamy Jazz Bot,Operational
1423,Dreamy Jazz Bot 5,Dreamy Jazz Bot,Task allocation
1424,Dreamy Jazz Bot 2,Dreamy Jazz Bot,Operational
1425,Dreamy Jazz Bot 8,Dreamy Jazz Bot,Operational
1426,Dreamy Jazz Bot 4,Dreamy Jazz Bot,Task allocation
1427,DrilBot 3,DrilBot,Operational
1428,DrilBot,DrilBot,Operational
1429,DrilBot 4,DrilBot,Operational
1430,DrilBot 2,DrilBot,Operational
1431,DrilBot 5,DrilBot,Task allocation
1432,Drinibot,Drinibot,Operational
1433,DrollBot,DrollBot,Operational
1434,DschwenBot,DschwenBot,Operational
1435,DschwenBot (2),DschwenBot (2),Operational
1436,Dualitas,Dualitas,Operational
1437,DuckBot,DuckBot,Task allocation
1438,DumZiBoT 2,DumZiBoT,Operational
1439,DumZiBoT 3,DumZiBoT,Operational
1440,DumZiBoT,DumZiBoT,Interwiki
1441,DumbBOT 7,DumbBOT,Operational
1442,DumbBOT,DumbBOT,Operational
1443,DustaBot,DustaBot,Exception management
1444,DusterBot,DusterBot,Exception management
1445,DustyBot,DustyBot,Information provision
1446,DustyBot 2,DustyBot,Information provision
1447,DustyBot 3,DustyBot,Task allocation
1448,DustyBot 4,DustyBot,Information provision
1449,DustyBot 5,DustyBot,Information provision
1450,Dušan Kreheľ (bot),Dušan Kreheľ (bot),Operational
1451,Dušan Kreheľ (bot) II,Dušan Kreheľ (bot) II,Operational
1452,Dušan Kreheľ (bot) III,Dušan Kreheľ (bot) III,Operational
1453,Dušan Kreheľ (bot) IV,Dušan Kreheľ (bot) IV,Operational
1454,Dušan Kreheľ (bot) V,Dušan Kreheľ (bot) V,Operational
1455,Dušan Kreheľ (bot) VI,Dušan Kreheľ (bot) VI,Operational
1456,Dušan Kreheľ (bot) VII,Dušan Kreheľ (bot) VII,Operational
1457,Dušan Kreheľ (bot) VIII,Dušan Kreheľ (bot) VIII,Operational
1458,DvyBot,DvyBot,Task allocation
1459,DyceBot,DyceBot,Operational
1460,DyceBot 3,DyceBot,Task allocation
1461,DyceBot 4,DyceBot,Operational
1462,DyceBot 2,DyceBot,Operational
1463,Dylan620 Bot,Dylan620 Bot,Information provision
1464,DysklyverBOT,DysklyverBOT,Task allocation
1465,EBot 2,EBot,Operational
1466,EBot,EBot,Exception management
1467,EBot II,EBot II,Other
1468,EBot III,EBot III,Operational
1469,EBot IV,EBot IV,Information provision
1470,EBot Task2,EBot Task2,Operational
1471,EBot2,EBot2,Information provision
1472,EFixBot,EFixBot,Operational
1473,EMBot,EMBot,Exception management
1474,ENewsBot,ENewsBot,Task allocation
1475,ENewsBot 2,ENewsBot,Task allocation
1476,ESBot,ESBot,Interwiki
1477,E^pi*i batch,E^pi*i batch,Operational
1478,EagleAstroidBot,EagleAstroidBot,Task division
1479,EaglesBot,EaglesBot,Operational
1480,EaglesBot 2,EaglesBot,Operational
1481,EarwigBot 14,EarwigBot,Task allocation
1482,EarwigBot 11,EarwigBot,Operational
1483,EarwigBot 17,EarwigBot,Operational
1484,EarwigBot 13,EarwigBot,Operational
1485,EarwigBot 2,EarwigBot,Information provision
1486,EarwigBot 1,EarwigBot,Exception management
1487,EarwigBot 9,EarwigBot,Operational
1488,EarwigBot 4,EarwigBot,Operational
1489,EarwigBot 10,EarwigBot,Operational
1490,EarwigBot 18,EarwigBot,Task division
1491,EarwigBot 21,EarwigBot,Operational
1492,EarwigBot 15,EarwigBot,Operational
1493,EarwigBot 19,EarwigBot,Exception management
1494,EarwigBot 20,EarwigBot,Operational
1495,EarwigBot 7,EarwigBot,Information provision
1496,EarwigBot,EarwigBot,Task allocation
1497,EarwigBot 3,EarwigBot,Task division
1498,EarwigBot 5,EarwigBot,Operational
1499,EarwigBot 12,EarwigBot,Task allocation
1500,EarwigBot 8,EarwigBot,Operational
1501,EarwigBot 6,EarwigBot,Task allocation
1502,EarwigBot 16,EarwigBot,Task allocation
1503,EarwigBot I 3,EarwigBot I,Other
1504,EarwigBot I 4,EarwigBot I,Other
1505,EarwigBot I,EarwigBot I,Other
1506,EarwigBot I 2,EarwigBot I,Other
1507,EarwigBot II,EarwigBot II,Other
1508,EarwigBot III,EarwigBot III,Other
1509,EarwigBot V,EarwigBot V,Other
1510,EastEnders Bot,EastEnders Bot,Other
1511,EbeBot,EbeBot,Exception management
1512,EberBot,EberBot,Operational
1513,Ebrambot,Ebrambot,Interwiki
1514,EchoBot,EchoBot,Information provision
1515,EdBot,EdBot,Operational
1516,EdBot 2,EdBot,Task allocation
1517,Edbot~enwiki,Edbot~enwiki,Interwiki
1518,EddieBot,EddieBot,Operational
1519,EddieBot 2,EddieBot,Operational
1520,EdgarBot,EdgarBot,Task division
1521,EdinBot,EdinBot,Other
1522,EditBot,EditBot,Operational
1523,EditCountBot,EditCountBot,Information provision
1524,EditorBot,EditorBot,Task division
1525,Edmundobot,Edmundobot,Interwiki
1526,EdoBot,EdoBot,Interwiki
1527,Edoderoobot,Edoderoobot,Other
1528,EdwardsBot,EdwardsBot,Task allocation
1529,Eejit43Bot 2,Eejit43Bot,Operational
1530,Eejit43Bot,Eejit43Bot,Operational
1531,Eflybot,Eflybot,Other
1532,Egmontbot,Egmontbot,Operational
1533,Egmontbot 2,Egmontbot,Interwiki
1534,EgressBot,EgressBot,Exception management
1535,Einsteinbot,Einsteinbot,Other
1536,Eivindbot,Eivindbot,Interwiki
1537,EjsBot,EjsBot,Interwiki
1538,El bot de la dieta,El bot de la dieta,Interwiki
1539,ElMeBot,ElMeBot,Interwiki
1540,EleferenBot,EleferenBot,Interwiki
1541,Elissonbot,Elissonbot,Task allocation
1542,ElliBot,ElliBot,Operational
1543,EllisBot,EllisBot,Operational
1544,ElphiBot,ElphiBot,Interwiki
1545,Elvaube,Elvaube,Other
1546,EmBOTellado,EmBOTellado,Interwiki
1547,Email Bot,Email Bot,Information provision
1548,EmailBot,EmailBot,Information provision
1549,EmausBot 4,EmausBot,Interwiki
1550,EmausBot 3,EmausBot,Operational
1551,EmausBot,EmausBot,Interwiki
1552,EmausBot 2,EmausBot,Operational
1553,Emijrpbot,Emijrpbot,Task division
1554,Emir34bot,Emir34bot,Other
1555,EmptyBot,EmptyBot,Operational
1556,EmxBot,EmxBot,Interwiki
1557,EnDecoderBot,EnDecoderBot,Other
1558,Englishbot,Englishbot,Other
1559,EnigmaBot,EnigmaBot,Other
1560,EnsureBot,EnsureBot,Operational
1561,EnterpriseyBot,EnterpriseyBot,Other
1562,EnterpriseyBot 10,EnterpriseyBot,Task division
1563,EnterpriseyBot 11,EnterpriseyBot,Information provision
1564,EnzaiBot,EnzaiBot,Interwiki
1565,EnzetBo,EnzetBo,Other
1566,EnzetBot,EnzetBot,Operational
1567,EpopBot,EpopBot,Other
1568,EranBot,EranBot,Exception management
1569,EranBot,EranBot,Exception management
1570,EranBot 2,EranBot,Exception management
1571,EranBot 3,EranBot,Exception management
1572,ErfgoedBot,ErfgoedBot,Information provision
1573,Erik E VestBot,Erik E VestBot,Exception management
1574,Erik9bot,Erik9bot,Operational
1575,Erik9bot 11,Erik9bot,Task allocation
1576,Erik9bot 13,Erik9bot,Operational
1577,Erik9bot 7,Erik9bot,Operational
1578,Erik9bot 4,Erik9bot,Operational
1579,Erik9bot 9,Erik9bot,Other
1580,Erik9bot 9,Erik9bot,Operational
1581,Erik9bot 9,Erik9bot,Other
1582,Erik9bot 5,Erik9bot,Operational
1583,Erik9bot 8,Erik9bot,Operational
1584,Erik9bot 12,Erik9bot,Task division
1585,Erik9bot 3,Erik9bot,Operational
1586,Erik9bot 6,Erik9bot,Task allocation
1587,Erik9bot 2,Erik9bot,Task division
1588,Erik9bot 10,Erik9bot,Task division
1589,Erwin85Bot 8,Erwin85Bot,Task allocation
1590,Erwin85Bot,Erwin85Bot,Interwiki
1591,Erwin85Bot 4,Erwin85Bot,Information provision
1592,Erwin85Bot 2,Erwin85Bot,Information provision
1593,Erwin85Bot 3,Erwin85Bot,Operational
1594,Erwin85Bot 6,Erwin85Bot,Information provision
1595,Erwin85Bot 7,Erwin85Bot,Operational
1596,Erwin85Bot 5,Erwin85Bot,Information provision
1597,Escarbot,Escarbot,Interwiki
1598,Eskimbot,Eskimbot,Interwiki
1599,Eskimospy Bot 2,Eskimospy Bot,Exception management
1600,Eskimospy Bot,Eskimospy Bot,Exception management
1601,EsquivalienceBot,EsquivalienceBot,Exception management
1602,EsquivalienceBot 2,EsquivalienceBot,Operational
1603,EssjayBot,EssjayBot,Other
1604,EssjayBot II,EssjayBot II,Other
1605,EssjayBot III,EssjayBot III,Other
1606,EssjayBot IV,EssjayBot IV,Information provision
1607,Estirabot,Estirabot,Interwiki
1608,Ethen12bot,Ethen12bot,Exception management
1609,Ethen12bot 2,Ethen12bot,Other
1610,EtherBotII,EtherBotII,Information provision
1611,Etherbot,Etherbot,Information provision
1612,EthicalBot,EthicalBot,Operational
1613,Eubot 2,Eubot,Operational
1614,Eubot,Eubot,Operational
1615,Eubot 3,Eubot,Operational
1616,Eubot 5,Eubot,Operational
1617,Eubot 4,Eubot,Operational
1618,EuseBot,EuseBot,Other
1619,EvidenceBot,EvidenceBot,Other
1620,Example,Example,Other
1621,Example Bot,Example Bot,Other
1622,ExodusBot,ExodusBot,Other
1623,ExpertCommentBot,ExpertCommentBot,Information provision
1624,ExpertIdeasBot,ExpertIdeasBot,Information provision
1625,ExpireBot,ExpireBot,Operational
1626,ExtranetBot,ExtranetBot,Other
1627,Eybot,Eybot,Interwiki
1628,Eybot~enwiki,Eybot~enwiki,Interwiki
1629,EyeEightDestroyerBot,EyeEightDestroyerBot,Operational
1630,FA RotBot,FA RotBot,Operational
1631,FA Template Protection Bot,FA Template Protection Bot,Exception management
1632,FA Template Protection Bot,FA Template Protection Bot,Operational
1633,FABLEBot,FABLEBot,Operational
1634,FACBot 3,FACBot,Task division
1635,FACBot 7,FACBot,Operational
1636,FACBot 6,FACBot,Operational
1637,FACBot 4,FACBot,Operational
1638,FACBot 2,FACBot,Task division
1639,FACBot,FACBot,Operational
1640,FACBot 5,FACBot,Information provision
1641,FANSTARbot,FANSTARbot,Interwiki
1642,FARotBot,FARotBot,Other
1643,FDA to Wikipedia Bot,FDA to Wikipedia Bot,Operational
1644,FFBot,FFBot,Other
1645,FMAFanBot,FMAFanBot,Operational
1646,FPBot,FPBot,Operational
1647,FRadical Bot,FRadical Bot,Operational
1648,FSBot I,FSBot I,Other
1649,FWTestBot,FWTestBot,Other
1650,FabulousBot,FabulousBot,Other
1651,FacebookBot,FacebookBot,Operational
1652,Faebot,Faebot,Task division
1653,FahBot,FahBot,Reward provision
1654,Fair-Use Bot,Fair-Use Bot,Exception management
1655,FairuseBot,FairuseBot,Exception management
1656,Fajrbot,Fajrbot,Interwiki
1657,FaleBot,FaleBot,Interwiki
1658,FariBot,FariBot,Other
1659,FastilyBot 14,FastilyBot,Information provision
1660,FastilyBot 7,FastilyBot,Operational
1661,FastilyBot 11,FastilyBot,Operational
1662,FastilyBot 3,FastilyBot,Exception management
1663,FastilyBot 15,FastilyBot,Operational
1664,FastilyBot 16,FastilyBot,Information provision
1665,FastilyBot 1,FastilyBot,Operational
1666,FastilyBot 8,FastilyBot,Operational
1667,FastilyBot 5,FastilyBot,Exception management
1668,FastilyBot,FastilyBot,Operational
1669,FastilyBot 17,FastilyBot,Operational
1670,FastilyBot 13,FastilyBot,Information provision
1671,FastilyBot 10,FastilyBot,Operational
1672,FastilyBot 6,FastilyBot,Information provision
1673,FastilyBot 2,FastilyBot,Exception management
1674,FastilyBot 9,FastilyBot,Operational
1675,FastilyBot 4,FastilyBot,Operational
1676,FastilyBot 12,FastilyBot,Information provision
1677,Fbot 12,Fbot,Operational
1678,Fbot 2,Fbot,Other
1679,Fbot 4,Fbot,Exception management
1680,Fbot 15,Fbot,Operational
1681,Fbot 7,Fbot,Operational
1682,Fbot 14,Fbot,Task division
1683,Fbot 5,Fbot,Operational
1684,Fbot 11,Fbot,Operational
1685,Fbot 16,Fbot,Information provision
1686,Fbot,Fbot,Operational
1687,Fbot 9,Fbot,Exception management
1688,Fbot 10,Fbot,Operational
1689,Fbot 8,Fbot,Exception management
1690,Fbot 6,Fbot,Operational
1691,Fbot 3,Fbot,Operational
1692,Fbot10,Fbot10,Operational
1693,FearBot,FearBot,Exception management
1694,FeedBot,FeedBot,Task division
1695,FeedBot 2,FeedBot,Operational
1696,Femto Bot 7,Femto Bot,Information provision
1697,Femto Bot 1,Femto Bot,Information provision
1698,Femto Bot,Femto Bot,Task division
1699,Femto Bot 3,Femto Bot,Exception management
1700,Femto Bot 5,Femto Bot,Operational
1701,Femto Bot 2,Femto Bot,Information provision
1702,Femto Bot 6,Femto Bot,Information provision
1703,Femto Bot 4,Femto Bot,Task allocation
1704,FeroceBot,FeroceBot,Interwiki
1705,Fetofsbot,Fetofsbot,Operational
1706,Fetofsbot2,Fetofsbot2,Operational
1707,Fettgesicht,Fettgesicht,Operational
1708,Ficbot,Ficbot,Interwiki
1709,File Upload Bot (Asemakov),File Upload Bot (Asemakov),Operational
1710,File Upload Bot (Kaldari),File Upload Bot (Kaldari),Operational
1711,FileBot,FileBot,Exception management
1712,Filedelinkerbot 2,Filedelinkerbot,Operational
1713,Filedelinkerbot,Filedelinkerbot,Operational
1714,Filedelinkerbot 3,Filedelinkerbot,Operational
1715,FilperBot I,FilperBot I,Exception management
1716,FireflyBot 13,FireflyBot,Operational
1717,FireflyBot,FireflyBot,Other
1718,FireflyBot 12,FireflyBot,Information provision
1719,FireflyBot II 2,FireflyBot II,Operational
1720,FireflyBot II,FireflyBot II,Exception management
1721,Firefoxbot,Firefoxbot,Operational
1722,FiriBot,FiriBot,Interwiki
1723,FiriBot 2,FiriBot,Interwiki
1724,FischBot,FischBot,Other
1725,FixDateBot,FixDateBot,Operational
1726,Fixatypobot,Fixatypobot,Operational
1727,FixyBot,FixyBot,Interwiki
1728,FlBot,FlBot,Information provision
1729,FlaBot,FlaBot,Interwiki
1730,FlagBot 2,FlagBot,Task division
1731,FlagBot,FlagBot,Task division
1732,FloBot,FloBot,Other
1733,FloggerBot,FloggerBot,Other
1734,FlrnBot,FlrnBot,Interwiki
1735,FlutefluteBot,FlutefluteBot,Operational
1736,Fluxbot 2,Fluxbot,Task allocation
1737,Fluxbot 8,Fluxbot,Other
1738,Fluxbot 7,Fluxbot,Operational
1739,Fluxbot,Fluxbot,Operational
1740,Fluxbot 401,Fluxbot,Operational
1741,Fluxbot 6,Fluxbot,Operational
1742,Fobox,Fobox,Task division
1743,FolksourceBot,FolksourceBot,Task allocation
1744,FoxBot,FoxBot,Interwiki
1745,FraBOT,FraBOT,Other
1746,FractalBot,FractalBot,Other
1747,FrescoBot 8,FrescoBot,Operational
1748,FrescoBot 2,FrescoBot,Operational
1749,FrescoBot 5,FrescoBot,Operational
1750,FrescoBot 1,FrescoBot,Operational
1751,FrescoBot 7,FrescoBot,Operational
1752,FrescoBot 13,FrescoBot,Operational
1753,FrescoBot 15,FrescoBot,Operational
1754,FrescoBot 3,FrescoBot,Operational
1755,FrescoBot 10,FrescoBot,Operational
1756,FrescoBot 9,FrescoBot,Operational
1757,FrescoBot 6,FrescoBot,Operational
1758,FrescoBot 4,FrescoBot,Operational
1759,FrescoBot,FrescoBot,Operational
1760,FrescoBot 14,FrescoBot,Operational
1761,FrescoBot 12,FrescoBot,Operational
1762,FrescoBot 11,FrescoBot,Operational
1763,Fridae'sDoomBot,Fridae'sDoomBot,Other
1764,Fritzbot,Fritzbot,Exception management
1765,FritzpollBot,FritzpollBot,Task division
1766,FritzpollBot 3,FritzpollBot,Task allocation
1767,FritzpollBot 4,FritzpollBot,Information provision
1768,FritzpollBot 2,FritzpollBot,Operational
1769,FroggyBot,FroggyBot,Other
1770,FrostlySnowman 11,FrostlySnowman,Operational
1771,Fti74Bot,Fti74Bot,Operational
1772,Full-date unlinking bot,Full-date unlinking bot,Operational
1773,Full-date unlinking bot 2,Full-date unlinking bot,Operational
1774,Fz29bot 2,Fz29bot,Operational
1775,Fz29bot,Fz29bot,Operational
1776,G-Bot~enwiki,G-Bot~enwiki,Operational
1777,GA bot,GA bot,Task division
1778,GBenemyBot,GBenemyBot,Other
1779,GCIBot,GCIBot,Interwiki
1780,GIBBot,GIBBot,Other
1781,GMDBot,GMDBot,Operational
1782,GPHbot,GPHbot,Other
1783,GTBot,GTBot,Operational
1784,GZ-Bot,GZ-Bot,Interwiki
1785,Gabriel-Bot,Gabriel-Bot,Other
1786,Gabrielchihonglee-Bot 2,Gabrielchihonglee-Bot,Operational
